Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Bay Ridge,Brooklyn,neighborhood,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1400,1395,1300,1300,1300,1300,1425,1462.5,1450,1350,1350,1395,1300,1300,1350,,1325,1325,1400,1450,1450,1450,1495,1425,1425,1425,1495,1525,1525,1500,1472.5,1550,1500,1500,1500,1550,1550,1550,1525,1525,1500,1450,1500,1500,1550,1550,1550,1525,1512.5,1600,1600,1600,1600,1600,1650,1700,1675,1650,1650,1600,1600,1650,1650,1650,1700,1700,1675,1650,1672.5,1700,1675,1650,1650,1625,1650,1650,1650
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,1875,,,,,,,,,,,,,,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,2000,,,,,2100,,,,,,1400,1450,,,,,1875,1750,1750,1750,,1775,1695,1572.5,1700,1700,1650,1600,,,,,1750
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1387.5,1375,1400,1400,1400,1349.5,1300,1300,1300,1350,1395,1350,1300,1450,1437.5,1450,1450,1387.5,1450,1462.5,1450,1500,1450,1450,1450,1375,1400,1500,1500,1500,1550
Bedford-Stuyvesant,Brooklyn,neighborhood,1550,1500,1400,1375,1400,1350,1325,1350,1450,1500,1500,1475,1400,1400,1400,1375,1382.5,1395,1450,1450,1400,1500,1600,1450,1400,1500,1550,1550,1562.5,1537.5,1500,1450,1500,1500,1500,1575,1500,1600,1700,1750,1700,1650,1650,1700,1700,1695,1745.5,1750,1750,1725,1770,1750,1750,1797,1750,1800,1800,1800,1800,1761.5,1799.5,1800,1800,1950,1950,1900,1949.5,1950,1900,1900,1922,1900,1922,1925,1977.5,2000,2050,2100,2100,2097,2093,2017,1999,2000,2000,2000,2000,2020.5,2100,2100
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,1300,1200,,,,1362.5,1350,1300,1325,1350,1325,1375,1399.5,1412.5,1400,1500,1450,1500,1450,1425,1450,1350,1400,1399,1399,1400,1412.5,1425,1500,1500,1550,1550,,1500,1450,1500,,1475,1475,1500,1550,1550
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,2000,1950,1900,1900,2000,2355,2360,2360,2225,2200,,,2200,2100,2300,2350,,2300,,,,,,,,2425,2500,,2350,2350,2375,2595,2600,2600,2500,2825,2600,2800,2900,2700,2600,2500,2450,2750,2400,2447.5,2500,2500,2300,2300,2425,2608,2650,2675,2497.5,2500,2600,2500,2599,2650,2650,2800,2800,2600,2512.5,2500,2600,2600,2700,2612.5,2500,2500,2525,2600,2575,2597.5,2650,2700,2550,2550,2520,2500,2455,2475,2550,2799,2799,2775,2625,2612
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1275,,,,,,,,1525,1400,1350,1400,1350,,1425,1495,1475,1437.5,1475,1425,1400,1499,1500,,1425,1450,1395,1425,1525,1500,1462.5,1590,2078,1650,1599,1650,2077,1675,1600,1600,1585,1582.5
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1512.5,,,,,1472.5,,,1500,1500,1500,1600,1595,1597.5,1595,1650,1625,1650,1650,1587.5,1560,1525,1537.5,1662.5,1650,1622.5,1650,1675,1695,1692.5,1650,1682.5,1695,1697.5,1750,1697.5,1750,1625,1597.5,1620,1599.5,1695,1550,1550,1600,1650,1650,1625
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.5,1612.5,1650,1700,,,,,,,,1450,1400,1400,1400,1405,1690,1572.5,,,1425,,1825,1825,1700,1647.5,1437.5,1522.5,1550,1695,1475,1450,1697.5,1750,1800,1850,1597.5,1612.5,1597,1637.5,1672.5,1700,1700,1668.5,1656,1796,1812.5,1737.5,1797.5,1772.5,1800,1772.5,1795,1722.5,1695,1685,1650,1800,1750,1800,1812.5
Bronx,Bronx,borough,1450,1450,1425,1400,1400,1350,1272.5,1297.5,1400,1275,1325,1275,1450,1350,1300,1300,1300,1200,1250,1290,1200,1199.5,1200,1200,1200,1250,1200,1200,1200,1200,1295,1250,1150,1250,1275,1300,1250,1275,1275,1350,1350,1275,1275,1225,1225,1200,1200,1250,1212.5,1219,1350,1350,1412.5,1550,1400,1300,1300,1300,1350,1350,1350,1350,1377.5,1350,1349,1325,1300,1350,1350,1350,1385,1400,1450,1450,1450,1450,1450,1450,1450,1450,1495,1481,1450,1495,1475,1500,1500,1500,1500,1500
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1449,1450,1475,1500,,1450
Brooklyn,Brooklyn,borough,1900,1882.5,1800,1850,1900,1950,1975,1900,1950,1950,1900,1900,1900,1900,1950,1929,2000,2007.5,2062.5,2000,2050,2000,2000,2200,2200,2200,2200,2300,2282,2200,2200,2250,2400,2350,2350,2400,2200,2200,2200,2200,2295,2350,2400,2462.5,2450,2395,2300,2350,2300,2200,2200,2200,2375,2302.5,2300,2300,2250,2200,2200,2200,2299,2300,2295,2300,2250,2200,2250,2300,2295,2282.5,2250,2222,2300,2300,2300,2351.5,2350,2350,2350,2350,2300,2300,2275,2250,2250,2245,2200,2250,2200,2268
Brooklyn Heights,Brooklyn,neighborhood,2100,2150,2150,2100,2250,2350,2400,2500,2500,2300,2550,2650,2583.5,2650,2700,2642,2500,2341.5,2400,2600,2700,2800,2675,2600,2695,2625,2580,2500,2500,2500,2850,3000,2700,2850,2775,2700,2687.5,2700,3168,3092,2827,2800,3025,2900,2929,2825,2800,2995,2775,2750,2887.5,3020,2860,2800,2785,2785,2700,2795,2772.5,2750,2699,2700,2750,2900,2800,2800,2897.5,2800,2900,2862.5,2817.5,2700,2800,2800,2700,2800,3000,2975,2950,2900,2997,2900,2950,3000,3000,2895,2800,2800,2850,2900
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1395,1400,1400,1400,1400,1375,1400,1400,1400,1375,1400,1375,1350,1400,1425,1500,1500,,,,1425,,,1450,,1497,
Bushwick,Brooklyn,neighborhood,1800,1800,1500,2000,2000,1500,1500,1500,1500,,,2000,2000,2000,2000,2000,2000,,,,,,,,,,,1625,1650,1750,1750,1750,1750,2050,1650,1400,1550,2323,1862.5,1787.5,1650,1750,1750,2175,2150,1912.5,1850,1845,1850,1897.5,1950,1900,2000,1800,1895,1862.5,1850,1892.5,1900,1875,1772.5,1850,1895,1900,1900,1995,2100,2100,2000,2000,1900,1900,2000,1900,1900,2067.5,2095,2095,2100,2195,2100,2100,2033,2100,2095,2100,2100,2100,2150,2177.5
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,
Carnegie Hill,Manhattan,neighborhood,2349,2300,2395,2500,2557.5,2625,2695,2695,2595,2657,2412.5,2450,2550,2472.5,2422.5,2531,2595,2500,2425,2500,2500,2695,2785,2570,2497.5,2612.5,2650,2650,2800,2787.5,2695,2650,2632.5,2620,2600,2500,2650,2700,2650,2700,2742.5,2895,2895,2895,2899.5,2900,2700,2697.5,2675,2695,2887.5,2650,2850,2797.5,2587.5,2500,2525,2700,2875,2729,2700,2900,3099,2800,2600,2545,2750,2897.5,2850,2725,2775,2775,2862.5,2825,2850,2835,2850,2795,2762.5,2775,2795,2895,2895,2997,2900,2800,2800,2759,2700,2700
Carroll Gardens,Brooklyn,neighborhood,1900,1912.5,1900,1800,1900,2000,2100,2000,2100,2150,2100,2100,2050,2000,2100,2200,2500,2500,2200,2200,2200,2200,2287.5,2300,2287.5,2225,2400,2325,2450,2500,2350,2400,2500,2500,2500,2550,2400,2425,2600,2600,2400,2625,2550,2500,2700,2500,2500,2500,2400,2400,2500,2500,2550,2500,2600,2600,2600,2500,2500,2500,2600,2500,2550,2550,2650,2625,2575,2525,2600,2600,2500,2500,2500,2500,2500,2600,2525,2600,2600,2600,2599.5,2500,2500,2500,2550,2400,2500,2550,2500,2500
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,,,,,,,,,1300,,,,,,,,,,1450,1450,1450,1475,1475,,1450,,1495,,
Central Harlem,Manhattan,neighborhood,1580,1600,1600,1550,1500,1500,1500,1462.5,1500,1550,1500,1500,1500,1525,1608,1675,1675,1649.5,1700,1712.5,1750,1650,1700,1750,1650,1675,1775,1675,1700,1650,1700,1870,1795,1700,1800,1675,1700,1700,1750,1700,1700,1750,1800,1850,1850,1800,1800,1775,1750,1750,1750,1850,1800,1800,1800,1800,1850,1900,1862.5,1825,1950,1990,2000,2000,1995,2000,1999.5,2000,1995,1950,1970,2075,2000,2000,2150,2125,2100,2100,2100,2099,2050,2100,2050,2100,2100,2100,2100,2065,2070,2100
Central Park South,Manhattan,neighborhood,5500,5500,5350,5950,5000,5500,5395,5500,6500,6500,6250,5000,5000,5525,5100,6000,6500,5600,5475,5375,6200,5725,6250,6125,6000,6100,5500,5000,5000,5500,5500,4972.5,4950,5500,6000,5500,6000,6250,6450,6500,6800,6800,7000,7800,7850,6400,6000,6650,7375,6450,5997.5,5700,6400,5500,5600,6500,7075,6995,7150,6995,6900,6972.5,6995,6995,6747.5,6500,6625,7000,7850,7862.5,7675,7600,7487.5,7475,6997.5,6995,6695,6900,6900,6750,6737.5,6500,6500,6500,6750,6500,6500,6350,6405.5,6600
Central Queens,Queens,submarket,1400,1387.5,1375,1400,1150,1150,1150,1150,1150,1150,1247.5,1200,1199.5,1199,1462.5,1450,1450,1450,1450,1499,1500,1550,1550,1525,1500,1550,1574.5,1650,1600,1550,1525,1500,1535,1700,1650,1650,1550,1600,1575,1595,1566,1600,1662.5,1650,1600,1650,1600,1620,1650,1700,1750,1675,1650,1700,1725,1725,1750,1750,1750,1700,1712.5,1725,1785,1750,1750,1750,1795,1800,1800,1750,1750,1750,1750,1750,1750,1800,1800,1800,1800,1800,1800,1800,1825,1800,1800,1800,1800,1800,1800,1800
Chelsea,Manhattan,neighborhood,3200,3300,3200,3000,3100,3000,3100,3150,3385,3300,3295,3225,3200,3225,3300,3400,3300,3400,3372.5,3395,3400,3500,3500,3350,3300,3350,3500,3525,3600,3700,3500,3500,3550,3500,3500,3550,3500,3547.5,3544,3695,3642.5,3450,3550,3762.5,3838.5,3914,3736,3638.5,3967,3988.5,3960,3750,3995,3700,3695,3700,3750,3700,3710,3777.5,3800,3796,3840,3940,3935,3940,3930,3954,3950,3995,3895,3900,3907.5,3950,3980,4025,4100,4118,4006,3950,3940,3930.5,3960,3900,3895,3950,3910,3950,3976,3892.5
Chinatown,Manhattan,neighborhood,,,,,,,,,2000,1900,,,,,,1900,1950,2650,2350,2225,,,,,,,,,,2250,2000,2550,2550,2650,2600,2395,,,2700,,2600,2600,2700,2600,2550,2650,2500,2500,2875,2447.5,2216,2625,2350,2495,2400,2400,2300,2300,2475,2500,2450,2300,2222.5,2250,2300,2297.5,2300,2800,2700,2500,2300,2200,2195,2150,2297.5,2247.5,2200,2300,2400,2397.5,2700,2575,2500,2500,2400,2297.5,2300,2400,2400,2300
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,1700,1690,1725,1795,1750,1700,1700,1800,1895,1841.5,1927,1975,1896.5,1929,2004,1950,2007,2007,2000,2050,2025,2395,2000,1950,2150,1947.5,2350,2187.5,2400,2300,2150,2500,2825,2612.5,2400,2300,2100,2300,2372.5,2300,2300,2350,2295,2200,2337.5,2350,2350,2400,2097.5,2200,2311.5,2295,2450,2500,2500,2500,2450,2500,2425,2448,2450,2400,2300,2400,2500,2395,2400,2400,2400,2300,2300,2300,2399,2315,2395,2400,2500,2500,2500,2400,2411,2400,2485,2400,2397,2400,2400,2400,2400,2495
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,1900,2025,2000,2100,2275,2200,2300,2395,2385,,,,,2400,2450,,2600,2600,2600,,,,,2700,2700,2700,2550,2600,2500,2362.5,2550,2590,2700,2600,2620,2640,2500,2600,2550,2350,2550,2500,2600,2600,2725,2700,2500,2475,2650,2762.5,2762.5,2600,2600,2800,2800,2685,2900,2750,2700,2500,2700,2700,2525,2890,2575,2550,2600,2825,2900,2575,2650,2500,2700,2825,2700,2800,2875,2800,2600,2687.5,2550,2575,2537.5,2537.5,2600,2600,2500,2450,2500,2507
College Point,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St Waterfront District,Brooklyn,neighborhood,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2700,2700,2450,,2100,2100,1825,1943.5,2120,2200,2150,2200,2200,2200,2250,2225,2225,2250,2200,,,,2700,2750,2300,2287.5,2300,2300,2372.5,2350,2300,2300,2197.5,2150,2197.5,2200,2200,2300,2300
Concourse,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1100,1050,,,,1250,,1249.5,1150,1200,1350,1150,1150,1300,1312.5,,,,,,,,,,,1375,,1375,1375,1325,1402,1385.5,1399.5,1150,1350,1260,1250,1295,1295,,,,,1350,1350,1325,1300,1350,1350,1350,1300,1300,1325,,1350,1350,1370,1425,1487.5,1525,1495,1495,1450,1495,1495,1399.5,1400,1497,1499.5,1500
Coney Island,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1775,,1860,,,1950,1925,,,1850,1925,,,1910.5,1832,1855.5,,,1749,1762,1787,1850,,1974.5,,1975,1899
Corona,Queens,neighborhood,1112.5,,,,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1493,1500,1500,1497.5,,,1550,1525,1550,1575,1595,1650,1650,1650,1650,1650,1650,1650,1650,1612.5,1695,1760,1785,1785,1780,1755,1847.5,1777.5,1860,1790,1780,1780,1765,1767.5,1802.5,1800,1800
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,Brooklyn,neighborhood,1795,1900,1925,1900,1675,1425,1400,1300,1400,1400,1460,1430,1460,1350,1350,1350,1425,1455,1500,1455,1590,1590,1600,1500,1525,1600,1625,1662.5,1682.5,1587.5,1600,1775,1700,1512.5,1600,1600,1600,1700,1600,1600,1662.5,1700,1795,1750,1700,1675,1600,1595,1600,1500,1600,1700,1700,1850,1912.5,1900,1750,1700,1700,1655,1650,1650,1650,1649,1700,1700,1775,1950,1900,1800,1800,1800,1800,1850,1897.5,1900,1982.5,1900,1900,1950,1950,1970,1823,1900,1900,1950,1900,1995,1975,1995
DUMBO,Brooklyn,neighborhood,2997.5,3000,3000,2875,2825,2750,3200,3250,3300,3000,3300,3275,3295,3272.5,3297.5,3000,3000,3000,3000,3200,3337.5,3550,3100,3050,3100,3100,3100,2900,2972.5,3100,3200,3400,3447.5,3550,3575,4075,4000,3350,3400,3400,3375,3400,3475,3650,3650,3400,3400,3400,3650,3600,3575,3675,3700,3725,3700,3750,3650,3708,3790,3650,3700,3685,3775,3741.5,3800,3995,3716.5,3750,3762,3826,3750,3882,3900,3858,3810,3937.5,4000,3800,3977.5,3675,3762,3743.5,3872,3599,3599,3809.5,3759,3775,3750,3730
Ditmars-Steinway,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditmas Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,1450,1450,,1425,1425,,,1400,1400,1495,1472.5,1512.5,1700,,1650,1600,1525,1500,,,,1500,,1550,1500,1550,1512.5,1400,1450,1487.5,1500,1550,1512.5,1500,1563.5,1575,1500,1495,1547.5,1550,1550,1550,1500,1600,1600,1600,1600,1650,1600,1600,1700,1795,1800,1650,1700,1797.5,1772.5,1700,1750,1700,1650,1799,1750,1797,1800,1750,1825,1750
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,1976,2102,2105,2201,2407.5,2418,2474,2462,2530,2505,2516.5,2446,2500,2450,2356,2411,2349.5,2500,2500,2500,2484.5,2470,2480,2580,2307,2338,2406,2410.5,2451,2556,2550,2500,2708.5,2658,2800,2910,2897.5,2900,2900,2892.5,2897.5,2785,2850,2900,2787.5,2775,2750,2784.5,2800,2950,2991,2952,3000,2950,2954,3020,3020,3000,3032.5,2995,3039.5,3195,3325,3240,3300,3205,3160,3179.5,3195,3145,3095,3122.5,3094,3090,3129,3091.5,3050,3090,3175,3093,3077.5,3071,3030,3025,3041,3089,3065,3100,3145,3148.5
Dyker Heights,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,1325,,,,1349.5,,,,,,,,,,,,,,1475,1475,1450,,,,,,,,,,,1450,1475,1500
East Brooklyn,Brooklyn,submarket,1575,1525,1500,1500,1500,1400,1400,1399,1437.5,1500,1450,1460,1500,1477.5,1550,1455,1495,1397.5,1450,1412.5,1450,1500,1600,1425,1425,1500,1525,1595,1600,1575,1575,1550,1550,1500,1600,1555,1500,1700,1700,1700,1685,1700,1700,1750,1700,1700,1700,1700,1700,1685,1700,1750,1795,1800,1800,1800,1800,1796.5,1799,1700,1700,1750,1750,1800,1850,1895,1900,1975,1900,1895,1862.5,1875,1900,1900,1912.5,1999,2000,2000,2000,2050,2000,2000,1957.5,1995,1995,1999,1995,2000,2000,2050
